character,pinyin,options,examples
房,fáng,jiān;chuāng;sī;fáng,房屋|楼房|房梁|厨房
收,shōu,xié;xiàng;qīn;shōu,没（没收）（沉没）|收（丰收）（收拾）|纳（容纳）（收纳）|收（收走）（丰收）
呢,ne,chuán;ne;fū;yuán,呢（你呢）（他呢）
还,hái,chuán;bù;shōu;hái,还子
商,shāng,sǎo;māo;shāng;gāi,议（商议）（议论）
楼,lóu,lóu;yín;shì;shǔ,梯（楼梯）（梯子）|8楼（楼房）（高楼）|楼（楼房）（上楼）|梯（梯子）（楼梯）
理,lǐ,chǎng;lǐ;gū;tǔ,了（理解）（了却）|由（理由）（由来）|道（道路）（道理）|梳（梳头）（梳理）
鞋,xié,fū;jī;ne;xié,鞋（鞋子）（鞋袜）
谁,shuí,wèi;shuí;luó;hù,谁（谁旳）（是谁）|谁（谁的）（是谁）（谁有）
场,chǎng,dài;chǎng;shāng;quán,场（场院）（一场雨）|墓（扫墓）（坟场）|战（战士）（战场）|广（广场）（广大）
街,jiē,jiē;yín;lóu;xíng,街（大街）（上街）
店,diàn,shì;diàn;gāi;gǒu,铺（店铺）（铺子）
市,shì,jiě;lián;shì;wǎn,市（市民）（市长）|城（进城）（都市）|市（都市）（市长）|市（市长）（上市）（城市）
病,bìng,xié;bìng;dài;huà,病（病人）（生病）|死（生死）（病死）|治（医治）（治病）|治（治虫）（治病）（治水）
院,yuàn,cài;yuàn;bo;táo,场（场院）（一场雨）
土,tǔ,zhù;xié;shōu;tǔ,疆（疆土）（新疆）|泥（泥土）（水泥）|土|（土地
纱,shā,fú;lǐ;shā;mèi,纱（面纱）（纱布）
针,zhēn,zhēn;wǎn;fū;pén,指（指针）（指向）|针（针对）（针线）
医,yī,chuáng;yī;shì;yín,治（医治）（治好）|治（医治）（治病）
护,hù,dāng;fàng;hù;sǎ,守（守护）（守卫）|养（保养）（养护）|保（保护）（保养）|护（护士）（护卫）
伤,shāng,shì;shāng;jī;yù,哀（恳求）（悲伤）|伤（受伤）（伤害）|难（困难）（难住）（伤心）|伤（伤心）（伤人）（受伤）
布,bù,shāng;lián;bù;fú,瀑（瀑布）（飞瀑）|布（一匹布）（瀑布）|纱（面纱）（纱布）|织（织女）（织布）
住,zhù,yí;wèi;zhù;bìng,记（记住）（记性）|盯（盯住）（盯着）|托（拜托）（托住）|宿（住宿）（宿舍）
喂,wèi,wǔ;gāi;wèi;zhù,喂子
鸡,jī,yā;jī;pén;yòng,锦（锦鸡）（云锦）|蛋（鸡蛋）（脸蛋）|爪（鸡爪）（爪子）|冠（鸡冠）（皇冠）
农,nóng,cài;jī;nóng;xiàng,农（农业）（农民）|农（农田）（农事）|村（农村）（村子）|农（农民）（农家）（农村）
猫,māo,chuán;māo;jiǎ;shài,狸（狸猫）(狐狸)|熊（熊猫）（熊样）|猫（小猫）（熊猫）|熊（狗熊）（熊猫）（小熊）
鼠,shǔ,dì;gài;shǔ;xiàng,松（松鼠）（松树）|标（鼠标）（目旳）
放,fàng,bó;chéng;jī;fàng,学（学习）（学生）（学会）（放学）
鸭,yā,mèi;bèi;kuài;yā,脖（脖子）（鸭脖）
夫,fū,ràng;fū;zhuāng;lǐ,渔（渔夫）（渔民）|船（帆船）（船夫）（船里）
狗,gǒu,gài;dì;gǒu;xìng,狗（小狗）（天狗）|熊（黑熊）（狗熊）|熊（狗熊）（熊猫）（小熊）|狗（小狗）（母狗）（公狗）
群,qún,fū;zhuāng;qún;dì,群（羊群）（群体）|象（大象）（象群）|群（一群）（人群）（成群）
汽,qì,dài;yù;qì;hù,汽（汽油）（汽水）|汽（汽车）（汽水）|汽（汽车）（汽水）（汽油）
交,jiāo,luó;jiāo;fàng;tuō,交（交换）（上交）|给（给我）（给力）（交给）|立（立正）（自立）（立马）（起立）（立交）
甲,jiǎ,yā;jiǎ;qīn;wǎn,甲子
宇,yǔ,wǔ;yǔ;huà;dāng,宇子
船,chuán,wèi;chuán;tǔ;diàn,艘（一艘船）（几艘）|帆（扬帆起航）（帆船）|龙（龙舟）（龙船）|船（船上）（上船）
行,xíng,xíng;cài;xié;gāi,旅（旅游）（旅行）|德（德行）（品德）|伍（队伍）（行伍）|驶（驾驶）（行驶）
装,zhuāng,ne;dāng;zhuāng;xíng,装（装修）（装饰）
机,jī,jiǎ;māo;jī;shài,灵（百灵）（机灵）|危（危险）（危机）|架（一架飞机）（书架）|机（飞机）（机器）
化,huà,yuán;chǎng;huà;zhēn,化（变化）（化学）|简（简朴）（简化）|2变（变动）（变化）|化（美化）（化学）
当,dāng,dāng;ràng;yín;xiàng,老当益壮，宁移白首之心；穷且益坚，不坠青云之志。——唐·王勃|初（当初）（起初）|（注：可编辑下载，若有不当之处，请指正，谢谢!）|归（归来）（当归）（回来）
科,kē,qì;bo;táo;kē,科（学科）（科目）
航,háng,háng;dāng;jiē;chéng,帆（扬帆起航）（帆船）
司,sī,shāng;ràng;cān;sī,司子
军,jūn,jūn;lóu;yí;shuí,军（军舰）（军队）|舰（舰队）（军舰）|队（队伍）（军队）|敌（敌人）（敌军）
该,gāi,jiān;shū;shài;gāi,该（应该）（活该）
程,chéng,qì;shài;chéng;bo,城（进程）（城里）
员,yuán,dāng;yuán;hù;lián,员（人员）（队员）|团（团员）（团圆）
舞,wǔ,kuài;jī;shā;wǔ,舞子
银,yín,yín;hái;wèi;chuán,银（金银）（银色）|日照香炉生紫烟，遥看瀑布挂前川。飞流直下三千尺，疑是银河落九天。
负,fù,xǐ;zé;fù;wǔ,负责|负担|负面|负伤
责,zé,xǐ;zé;wǔ;fù,责任|责备
